# Format
# If line starts with a '#' it is considered a comment
# DCGM FIELD, Prometheus metric type, help message

# Clocks
DCGM_FI_DEV_SM_CLOCK,  gauge, SM clock frequency (in MHz).
DCGM_FI_DEV_NVLINK_COUNT_LINK_RECOVERY_FAILED_EVENTS, counter, Number of times link went from Up to recovery failed and link down.
DCGM_FI_DEV_NVLINK_COUNT_RX_MALFORMED_PACKET_ERRORS, counter, Number of packets Rx on a link where packets are malformed.
DCGM_FI_DEV_NVLINK_COUNT_RX_SYMBOL_ERRORS, counter, Number of errors in rx symbols.
DCGM_FI_DEV_NVLINK_COUNT_LOCAL_LINK_INTEGRITY_ERRORS, counter, Total number of times that the count of local errors.
DCGM_FI_DEV_NVLINK_COUNT_RX_ERRORS, counter, Total number of packets with errors Rx on a link.
DCGM_FI_DEV_NVLINK_COUNT_TX_DISCARDS, counter, Total number of tx error packets that were discarded.
DCGM_FI_PROF_NVLINK_TX_BYTES, counter, Nvlink Port Raw bandwidth (TX)
DCGM_FI_PROF_NVLINK_RX_BYTES, counter, Nvlink Port Raw bandwidth (RX)

# VGPU License status
DCGM_FI_DEV_VGPU_LICENSE_STATUS, gauge, vGPU License status

# Remapped rows
DCGM_FI_DEV_UNCORRECTABLE_REMAPPED_ROWS, counter, Number of remapped rows for uncorrectable errors
DCGM_FI_DEV_CORRECTABLE_REMAPPED_ROWS,   counter, Number of remapped rows for correctable errors
DCGM_FI_DEV_ROW_REMAP_FAILURE,           gauge,   Whether remapping of rows has failed

# Static configuration information. These appear as labels on the other metrics
DCGM_FI_DRIVER_VERSION,        label, Driver Version
# DCGM_FI_NVML_VERSION,          label, NVML Version
# DCGM_FI_DEV_BRAND,             label, Device Brand
# DCGM_FI_DEV_SERIAL,            label, Device Serial Number
# DCGM_FI_DEV_OEM_INFOROM_VER,   label, OEM inforom version
# DCGM_FI_DEV_ECC_INFOROM_VER,   label, ECC inforom version
# DCGM_FI_DEV_POWER_INFOROM_VER, label, Power management object inforom version
# DCGM_FI_DEV_INFOROM_IMAGE_VER, label, Inforom image version
# DCGM_FI_DEV_VBIOS_VERSION,     label, VBIOS version of the device

# Datacenter Profiling (DCP) metrics
# NOTE: supported on Nvidia datacenter Volta GPUs and newer
DCGM_FI_PROF_GR_ENGINE_ACTIVE,   gauge, Ratio of time the graphics engine is active.
DCGM_FI_PROF_SM_ACTIVE,          gauge, The ratio of cycles an SM has at least 1 warp assigned.
DCGM_FI_PROF_SM_OCCUPANCY,       gauge, The ratio of number of warps resident on an SM.
DCGM_FI_PROF_PIPE_TENSOR_ACTIVE, gauge, Ratio of cycles the tensor (HMMA) pipe is active.
DCGM_FI_PROF_DRAM_ACTIVE,        gauge, Ratio of cycles the device memory interface is active sending or receiving data.
DCGM_FI_PROF_PIPE_FP64_ACTIVE,   gauge, Ratio of cycles the fp64 pipes are active.
DCGM_FI_PROF_PIPE_FP32_ACTIVE,   gauge, Ratio of cycles the fp32 pipes are active.
DCGM_FI_PROF_PIPE_FP16_ACTIVE,   gauge, Ratio of cycles the fp16 pipes are active.

#EXTRA's
DCGM_FI_DEV_APP_MEM_CLOCK,  gauge, Ratio of time the graphics engine is active.
DCGM_FI_DEV_APP_SM_CLOCK,   gauge, The ratio of cycles an SM has at least 1 warp assigned.
DCGM_FI_DEV_FB_RESERVED,    gauge, The ratio of number of warps resident on an SM.
DCGM_FI_DEV_FB_TOTAL, gauge, Ratio of cycles the tensor (HMMA) pipe is active.
DCGM_FI_DEV_VGPU_MEMORY_USAGE, gauge, Ratio of cycles the device memory interface is active sending or receiving data.
DCGM_FI_DEV_VGPU_UTILIZATIONS, gauge, Ratio of cycles the fp64 pipes are active.
DCGM_FI_DEV_FAN_SPEED, gauge, Ratio of cycles the fp32 pipes are active.
DCGM_FI_DEV_GPU_NVLINK_ERRORS, gauge, Ratio of cycles the fp16 pipes are active.
DCGM_FI_DEV_BANKS_REMAP_ROWS_AVAIL_PARTIAL, gauge, The rate of data transmitted over the PCIe bus including both protocol header
DCGM_FI_DEV_TOTAL_APP_CLOCKS_VIOLATION,      gauge, The rate of data received over the PCIe bus
DCGM_FI_DEV_TOTAL_BASE_CLOCKS_VIOLATION,      gauge, The rate of data transmitted over the PCIe bus including both protocol header
DCGM_FI_DEV_PSTATE,      gauge, The rate of data received over the PCIe bus
